,StateWellNumber,County,LongitudeDD,LatitudeDD,LandSurfaceElevationMethod,WellDepth,WaterElevation,DepthFromLSD
32,6162407,Jefferson,-94.336945,30.048889,Interpolated From Topo Map,246.0,31.0,10.0
33,6162408,Jefferson,-94.335,30.044167,Interpolated From Topo Map,250.0,19.0,17.0
34,6162409,Jefferson,-94.360278,30.045834,Interpolated From Topo Map,206.0,31.0,12.0
35,6162411,Jefferson,-94.345834,30.063334,Interpolated From Topo Map,208.0,15.0,30.0
36,6162414,Jefferson,-94.337222,30.050834,Interpolated From Topo Map,232.0,20.0,20.0
37,6162415,Jefferson,-94.336667,30.051112,Digital Elevation Model -DEM,241.0,5.9276470588235295,35.07235294117647
38,6162416,Jefferson,-94.3391667,30.0530556,Interpolated From Topo Map,230.0,6.9,35.1
39,6162418,Jefferson,-94.336667,30.051389,Digital Elevation Model -DEM,254.0,3.0,38.0
40,6162501,Jefferson,-94.321667,30.080278,Interpolated From Topo Map,208.0,24.525,16.475
41,6162502,Jefferson,-94.3175,30.060001,Interpolated From Topo Map,14.0,33.3,2.7
42,6162503,Jefferson,-94.294445,30.049445,Interpolated From Topo Map,16.0,26.5,1.5
43,6162504,Jefferson,-94.293889,30.065001,Interpolated From Topo Map,19.0,23.9,7.1
44,6162508,Jefferson,-94.293056,30.051667,Interpolated From Topo Map,100.0,21.675,9.325000000000001
45,6162604,Jefferson,-94.264723,30.071944,Interpolated From Topo Map,164.0,20.0,17.0
46,6162705,Jefferson,-94.365834,30.030833,Interpolated From Topo Map,15.0,26.0,8.0
47,6162901,Jefferson,-94.270833,30.001389,Interpolated From Topo Map,7.0,20.2,4.8
48,6163202,Jefferson,-94.189445,30.098889,Interpolated From Topo Map,24.0,29.5,2.5
49,6163204,Jefferson,-94.189722,30.089167,Interpolated From Topo Map,265.0,18.8,8.2
50,6163303,Jefferson,-94.162501,30.113889,Interpolated From Topo Map,33.0,8.0,21.0
51,6163305,Jefferson,-94.154723,30.084167,Interpolated From Topo Map,340.0,14.5,5.5
52,6163401,Jefferson,-94.22,30.060556,Interpolated From Topo Map,17.0,27.8,1.2
53,6163502,Jefferson,-94.187778,30.069444,Interpolated From Topo Map,130.0,17.0,12.0
54,6163504,Jefferson,-94.174444,30.073889,Interpolated From Topo Map,80.0,14.0,10.0
55,6163701,Jefferson,-94.216944,30.025,Interpolated From Topo Map,21.0,14.0,10.0
56,6163705,Jefferson,-94.210001,30.021389,Interpolated From Topo Map,169.0,9.3,14.7
57,6163904,Jefferson,-94.1475,30.0172222,Digital Elevation Model -DEM,220.0,3.5408333333333335,11.459166666666667
58,6164104,Jefferson,-94.103056,30.113612,Interpolated From Topo Map,9.0,11.3,2.7
59,6164106,Jefferson,-94.095,30.088611,Interpolated From Topo Map,520.0,-26.150000000000002,41.15
60,6164404,Jefferson,-94.098056,30.082222,Interpolated From Topo Map,540.0,-17.183333333333334,40.18333333333333
61,6164405,Jefferson,-94.0983333,30.0819444,Digital Elevation Model -DEM,532.0,-20.427931034482757,40.42793103448276
62,6164501,Jefferson,-94.072222,30.065278,Interpolated From Topo Map,620.0,6.2,19.8
63,6164502,Jefferson,-94.049722,30.066944,Interpolated From Topo Map,435.0,-25.82375,35.82375
64,6164503,Jefferson,-94.047222,30.064445,Interpolated From Topo Map,450.0,-21.7,36.699999999999996
65,6164504,Jefferson,-94.068055,30.044722,Interpolated From Topo Map,641.0,12.4,8.6
66,6164505,Jefferson,-94.073889,30.053056,Interpolated From Topo Map,775.0,-21.19333333333333,47.193333333333335
67,6164506,Jefferson,-94.073889,30.066944,Interpolated From Topo Map,765.0,-14.666666666666666,39.666666666666664
68,6164509,Jefferson,-94.044722,30.062778,Interpolated From Topo Map,542.0,-24.574827586206894,32.574827586206894
69,6164510,Jefferson,-94.063889,30.064445,Interpolated From Topo Map,248.0,2.25,10.75
70,6164512,Jefferson,-94.068333,30.044722,Interpolated From Topo Map,145.0,4.3,15.7
71,6164513,Jefferson,-94.078333,30.055834,Interpolated From Topo Map,271.0,-15.0,40.0
72,6164701,Jefferson,-94.111667,30.02,Interpolated From Topo Map,45.0,6.0,6.0
73,6164702,Jefferson,-94.096945,30.015001,Interpolated From Topo Map,77.0,4.0,6.0
74,6164801,Jefferson,-94.0475,30.021111,Interpolated From Topo Map,27.0,11.1,10.9
75,6164802,Jefferson,-94.080555,30.037778,Interpolated From Topo Map,22.0,16.9,2.1
76,6164805,Jefferson,-94.046389,30.021111,Interpolated From Topo Map,115.0,1.4,18.6
77,6164806,Jefferson,-94.049167,30.0375,Interpolated From Topo Map,600.0,-29.596666666666664,34.59666666666667
78,6164901,Jefferson,-94.03,30.010001,Interpolated From Topo Map,540.0,-15.1,36.1
79,6164902,Jefferson,-94.028889,30.006945,Interpolated From Topo Map,550.0,-22.071538461538463,42.07153846153846
80,6164903,Jefferson,-94.026667,30.003889,Interpolated From Topo Map,590.0,-18.0,34.0
81,6164904,Jefferson,-94.024167,30.004167,Interpolated From Topo Map,590.0,-22.465,39.465
82,6257704,Jefferson,-93.978055,30.001389,Interpolated From Topo Map,602.0,-6.050000000000001,25.05
83,6257706,Jefferson,-93.975833,30.002778,Interpolated From Topo Map,518.0,10.1,7.9
84,6257707,Jefferson,-93.975833,30.002501,Interpolated From Topo Map,606.0,10.9,7.1
85,6257708,Jefferson,-93.966112,30.004445,Interpolated From Topo Map,774.0,11.3,3.7
87,6257711,Jefferson,-93.988334,30.001112,Interpolated From Topo Map,34.0,14.8,2.2
88,6257712,Jefferson,-93.980833,30.006667,Interpolated From Topo Map,600.0,11.6,2.4
89,6301101,Jefferson,-93.986945,29.964723,Interpolated From Topo Map,30.0,6.0,6.0
90,6301104,Jefferson,-93.993056,29.973333,Interpolated From Topo Map,510.0,1.374,19.625999999999998
91,6301105,Jefferson,-93.985834,29.9675,Interpolated From Topo Map,510.0,4.7525,16.2475
92,6301106,Jefferson,-93.993889,29.975,Interpolated From Topo Map,140.0,4.9,16.1
93,6301108,Jefferson,-93.993334,29.996945,Interpolated From Topo Map,511.0,-7.0,24.0
94,6301201,Jefferson,-93.919722,29.961389,Interpolated From Topo Map,546.0,-27.883684210526315,36.88368421052631
95,6301202,Jefferson,-93.954445,29.995278,Interpolated From Topo Map,629.0,8.6225,10.3775
96,6301203,Jefferson,-93.94,29.99,Interpolated From Topo Map,656.0,13.0,3.0
97,6301204,Jefferson,-93.952223,29.994167,Interpolated From Topo Map,657.0,11.7,8.3
98,6301205,Jefferson,-93.949167,29.993611,Interpolated From Topo Map,682.0,14.4,2.6
99,6301206,Jefferson,-93.949722,29.990556,Interpolated From Topo Map,644.0,12.0,7.0
100,6301207,Jefferson,-93.949722,29.99,Interpolated From Topo Map,60.0,16.3,2.7
101,6301301,Jefferson,-93.908612,29.968055,Interpolated From Topo Map,1000.0,-3.3200000000000003,15.32
102,6301302,Jefferson,-93.8925,29.962778,Interpolated From Topo Map,549.0,-5.0,14.0
103,6301303,Jefferson,-93.891389,29.963889,Interpolated From Topo Map,822.0,-5.265,14.265
104,6301304,Jefferson,-93.891667,29.968611,Interpolated From Topo Map,20.0,-1.5,6.5
105,6301401,Jefferson,-93.991945,29.949445,Interpolated From Topo Map,91.0,3.1,8.9
106,6301501,Jefferson,-93.918055,29.925278,Interpolated From Topo Map,22.0,3.1,4.9
107,6301605,Jefferson,-93.879167,29.933611,Interpolated From Topo Map,580.0,-33.0,38.0
108,6301606,Jefferson,-93.879167,29.933611,Interpolated From Topo Map,814.0,-26.783,31.783
109,6301703,Jefferson,-93.963334,29.884722,Interpolated From Topo Map,935.0,1.45,3.5500000000000003
111,6309202,Jefferson,-93.936667,29.865834,Interpolated From Topo Map,953.0,-16.0,21.0
112,6309203,Jefferson,-93.937778,29.866389,Interpolated From Topo Map,881.0,-9.0,14.0
113,6317202,Jefferson,-93.940556,29.722222,Interpolated From Topo Map,14.0,1.0,5.0
114,6317301,Jefferson,-93.893889,29.732778,Interpolated From Topo Map,7.0,3.0,2.0
115,6318101,Jefferson,-93.8725,29.719722,Interpolated From Topo Map,1065.0,1.0219999999999998,3.978
116,6405301,Jefferson,-94.402501,29.963334,Interpolated From Topo Map,176.0,15.0,18.0
117,6405303,Jefferson,-94.409723,29.993611,Interpolated From Topo Map,30.0,31.0,4.0
118,6405502,Jefferson,-94.43,29.9372222,Digital Elevation Model -DEM,160.0,18.28054054054054,26.71945945945946
119,6405602,Jefferson,-94.375833,29.957223,Interpolated From Topo Map,150.0,27.2,1.8
120,6405902,Jefferson,-94.398611,29.899445,Interpolated From Topo Map,150.0,34.0,1.0
121,6405903,Jefferson,-94.413334,29.900278,Interpolated From Topo Map,260.0,17.0,18.0
123,6406102,Jefferson,-94.338334,29.986111,Interpolated From Topo Map,20.0,24.0,1.0
125,6406404,Jefferson,-94.374167,29.958612,Interpolated From Topo Map,20.0,19.0,4.0
126,6406501,Jefferson,-94.304445,29.928889,Interpolated From Topo Map,96.0,3.8,16.2
127,6406502,Jefferson,-94.324167,29.9425,Interpolated From Topo Map,160.0,18.0,3.0
128,6406601,Jefferson,-94.251389,29.951667,Interpolated From Topo Map,15.0,13.8,6.2
129,6406602,Jefferson,-94.268889,29.948334,Interpolated From Topo Map,14.0,13.3,3.7
130,6406603,Jefferson,-94.261667,29.928611,Interpolated From Topo Map,159.0,10.0,7.0
131,6406702,Jefferson,-94.350834,29.878611,Interpolated From Topo Map,227.0,13.0,8.0
132,6406901,Jefferson,-94.268889,29.879722,Interpolated From Topo Map,119.0,10.0,1.0
133,6406903,Jefferson,-94.273055,29.875278,Interpolated From Topo Map,67.0,6.0,10.0
134,6407101,Jefferson,-94.221389,29.995556,Interpolated From Topo Map,33.0,18.0,6.0
135,6407102,Jefferson,-94.243056,29.986945,Interpolated From Topo Map,25.0,21.9,4.1
136,6407201,Jefferson,-94.198889,29.965001,Interpolated From Topo Map,18.0,14.5,5.5
137,6407202,Jefferson,-94.201389,29.984722,Interpolated From Topo Map,18.0,18.2,2.8
138,6407203,Jefferson,-94.206667,29.979167,Interpolated From Topo Map,156.0,6.4,14.6
139,6407204,Jefferson,-94.198056,29.976944,Interpolated From Topo Map,155.0,10.0,13.0
140,6407207,Jefferson,-94.202501,29.982222,Interpolated From Topo Map,155.0,6.0,15.0
141,6407209,Jefferson,-94.194167,29.994445,Interpolated From Topo Map,150.0,7.0,14.0
142,6407212,Jefferson,-94.203889,29.966389,Interpolated From Topo Map,150.0,7.3,2.7
143,6407405,Jefferson,-94.226389,29.946389,Interpolated From Topo Map,155.0,6.0,12.0
144,6407501,Jefferson,-94.185,29.951667,Interpolated From Topo Map,18.0,9.8,5.2
145,6407502,Jefferson,-94.168055,29.957223,Interpolated From Topo Map,37.0,9.3,2.7
146,6407504,Jefferson,-94.1877778,29.9511111,Interpolated From Topo Map,180.0,-3.35,19.35
147,6407705,Jefferson,-94.230278,29.899445,Interpolated From Topo Map,31.0,13.6,3.4
148,6407801,Jefferson,-94.206112,29.916389,Interpolated From Topo Map,15.0,12.0,7.0
149,6407803,Jefferson,-94.186389,29.913334,Interpolated From Topo Map,63.0,15.0,5.0
150,6407907,Jefferson,-94.161945,29.883611,Interpolated From Topo Map,29.0,5.0,6.0
151,6408101,Jefferson,-94.088889,29.970278,Interpolated From Topo Map,18.0,6.8,4.2
152,6408201,Jefferson,-94.0541667,29.9725,Digital Elevation Model -DEM,580.0,-19.92388888888889,37.92388888888889
153,6408301,Jefferson,-94.0175,29.995834,Interpolated From Topo Map,18.0,9.8,5.2
154,6408401,Jefferson,-94.124722,29.943334,Interpolated From Topo Map,64.0,-7.0,14.0
155,6408701,Jefferson,-94.111945,29.913056,Interpolated From Topo Map,27.0,-1.0,8.0
156,6408901,Jefferson,-94.0175,29.913889,Interpolated From Topo Map,22.0,-3.0,8.0
157,6414101,Jefferson,-94.354723,29.842778,Interpolated From Topo Map,215.0,-20.2325,37.2325
158,6414103,Jefferson,-94.350556,29.869444,Interpolated From Topo Map,18.0,18.0,3.0
159,6414104,Jefferson,-94.341111,29.839722,Interpolated From Topo Map,237.0,-23.0,38.0
160,6414105,Jefferson,-94.3419444,29.8338889,Digital Elevation Model -DEM,164.0,-15.446923076923076,29.446923076923078
161,6414203,Jefferson,-94.325555,29.869722,Interpolated From Topo Map,228.0,9.0,9.0
162,6414204,Jefferson,-94.311389,29.850556,Interpolated From Topo Map,306.0,-4.3,19.3
163,6414205,Jefferson,-94.312778,29.863056,Interpolated From Topo Map,230.0,3.5,12.5
164,6414206,Jefferson,-94.310278,29.863056,Interpolated From Topo Map,230.0,-3.0,19.0
165,6414208,Jefferson,-94.310556,29.863612,Interpolated From Topo Map,225.0,-8.404347826086957,24.404347826086955
166,6414209,Jefferson,-94.315556,29.862778,Interpolated From Topo Map,235.0,-11.285652173913043,27.285652173913046
167,6414210,Jefferson,-94.310834,29.863334,Digital Elevation Model -DEM,230.0,-13.0,28.0
168,6414305,Jefferson,-94.268333,29.84,Interpolated From Topo Map,18.0,4.0,6.0
169,6414405,Jefferson,-94.355834,29.818611,Interpolated From Topo Map,127.0,17.0,5.0
170,6414406,Jefferson,-94.354445,29.833055,Interpolated From Topo Map,223.0,-24.76,41.76
171,6414407,Jefferson,-94.349445,29.833055,Interpolated From Topo Map,253.0,-20.746666666666666,35.74666666666667
172,6414408,Jefferson,-94.349445,29.833055,Digital Elevation Model -DEM,253.0,6.0,13.0
173,6414802,Jefferson,-94.324722,29.775,Interpolated From Topo Map,270.0,-8.8,21.8
174,6415105,Jefferson,-94.225,29.863889,Interpolated From Topo Map,180.0,-2.5,9.5
175,6415203,Jefferson,-94.175833,29.853889,Interpolated From Topo Map,18.0,0.6,7.4
176,6415301,Jefferson,-94.159167,29.87,Interpolated From Topo Map,32.0,2.6,12.4
177,6415405,Jefferson,-94.236945,29.818889,Interpolated From Topo Map,240.0,8.0,2.0
178,6415601,Jefferson,-94.157501,29.803889,Interpolated From Topo Map,28.0,4.2,4.8
179,6415603,Jefferson,-94.150834,29.810834,Interpolated From Topo Map,100.0,1.0,7.0
180,6415704,Jefferson,-94.249722,29.756945,Interpolated From Topo Map,332.0,-5.9,19.9
181,6415705,Jefferson,-94.249722,29.756945,Interpolated From Topo Map,410.0,-6.7,21.7
182,6415707,Jefferson,-94.238889,29.750834,Interpolated From Topo Map,40.0,58.685,13.315000000000001
183,6415901,Jefferson,-94.150834,29.756945,Interpolated From Topo Map,60.0,1.8,5.2
184,6415902,Jefferson,-94.149445,29.753889,Interpolated From Topo Map,81.0,2.0,3.0
185,6415904,Jefferson,-94.150834,29.756945,Interpolated From Topo Map,60.0,2.4,4.6
186,6422301,Jefferson,-94.253056,29.744722,Interpolated From Topo Map,327.0,-3.519230769230769,8.51923076923077
187,6423102,Jefferson,-94.241945,29.735278,Interpolated From Topo Map,327.0,-2.192,7.192
188,6423103,Jefferson,-94.236945,29.736389,Interpolated From Topo Map,250.0,-0.9625,5.9625
190,6423201,Jefferson,-94.199722,29.7425,Interpolated From Topo Map,178.0,1.7999999999999998,3.2
191,6423302,Jefferson,-94.164167,29.741389,Interpolated From Topo Map,70.0,1.9,1.1
192,6423303,Jefferson,-94.161667,29.739445,Interpolated From Topo Map,93.0,1.9,1.1
193,6424501,Jefferson,-94.0725,29.668055,Interpolated From Topo Map,6.0,2.5,2.5
194,6424502,Jefferson,-94.072778,29.667778,Interpolated From Topo Map,10.0,2.0,3.0
